id,date,name,username,text,url,referenced_post_id,referenced_username,referenced_post_type,referenced_post_url,like_count,reply_count,repost_count,links,alt_texts
3ldype7hr7c2l+partisocialiste.bsky.social,2024-12-23 20:00:32.862000,Parti socialiste,partisocialiste.bsky.social,"📺 Demain, je serai l'invité d'Apolline de Malherbe dans la matinale de @bfm-tv.bsky.social et @rmcinfo.bsky.social.   

Retrouvons-nous à 8h30 👉 bfmtv.com/en-direct/ 

#FaceÀFace",https://bsky.app/profile/olivierfaure.bsky.social/post/3ldype7hr7c2l,3ldype7hr7c2l,olivierfaure.bsky.social,reposted,https://bsky.app/profile/olivierfaure.bsky.social/post/3ldype7hr7c2l,36,13,11,['https://bfmtv.com/en-direct/'],['']
3ldxmpykmp22n+partisocialiste.bsky.social,2024-12-23 12:04:59.350000,Parti socialiste,partisocialiste.bsky.social,"En ce jour de deuil national en hommage aux victimes du cyclone Chido, qui a dévasté le département de Mayotte le 14 décembre dernier, j’adresse toute ma solidarité et mes pensées à nos compatriotes Mahoraises et Mahorais.",https://bsky.app/profile/egregoire.bsky.social/post/3ldxmpykmp22n,3ldxmpykmp22n,egregoire.bsky.social,reposted,https://bsky.app/profile/egregoire.bsky.social/post/3ldxmpykmp22n,1,1,3,['https://www.associations.gouv.fr/urgence-mayotte.html'],[]
3ldxps3bybc22+partisocialiste.bsky.social,2024-12-23 12:04:47.352000,Parti socialiste,partisocialiste.bsky.social,"En ce jour de deuil national, hommage aux victimes et solidarité avec les habitantes et les habitants de Mayotte, durement touché(e)s par le passage dévastateur du cyclone Chido. Tout doit être mis en œuvre pour aider et reconstruire cet archipel français de l’Océan Indien.",https://bsky.app/profile/claudiarouaux.bsky.social/post/3ldxps3bybc22,3ldxps3bybc22,claudiarouaux.bsky.social,reposted,https://bsky.app/profile/claudiarouaux.bsky.social/post/3ldxps3bybc22,10,0,5,[],['']
3ldxhcdfu6s2d+partisocialiste.bsky.social,2024-12-23 11:49:20.453000,Parti socialiste,partisocialiste.bsky.social,"En ce jour de deuil national, j’ai une pensée toute particulière pour les Mahoraises et Mahorais dont la vie a été pour toujours bouleversée le 14 décembre dernier, à la suite du passage du cyclone Chido.

 Dans cette épreuve, soyons solidaires et unis.",https://bsky.app/profile/hconwaymouret.bsky.social/post/3ldxhcdfu6s2d,3ldxhcdfu6s2d,hconwaymouret.bsky.social,reposted,https://bsky.app/profile/hconwaymouret.bsky.social/post/3ldxhcdfu6s2d,6,0,1,[],['']
3ldxpvsnuls2a+partisocialiste.bsky.social,2024-12-23 11:49:16.453000,Parti socialiste,partisocialiste.bsky.social,Solidaire de tous.tes nos #compatriotes 🇫🇷 durement frappé.es par le cyclone Chido à #Mayotte et en pensée avec les victimes 🫶🏽🤝 #DeuilNational,https://bsky.app/profile/dorabreg.bsky.social/post/3ldxpvsnuls2a,3ldxpvsnuls2a,dorabreg.bsky.social,reposted,https://bsky.app/profile/dorabreg.bsky.social/post/3ldxpvsnuls2a,3,0,1,[],['']
3ldxjwm3css2e+partisocialiste.bsky.social,2024-12-23 11:49:02.754000,Parti socialiste,partisocialiste.bsky.social,"⚫️ Journée de deuil national pour Mayotte, pour rendre hommage aux victimes toujours pas dénombrées du cyclone #Chido.
La solidarité nationale avec ce département 🇫🇷 devra s’étendre bien au delà pour une reconstruction digne de la République.",https://bsky.app/profile/corinnenara.bsky.social/post/3ldxjwm3css2e,3ldxjwm3css2e,corinnenara.bsky.social,reposted,https://bsky.app/profile/corinnenara.bsky.social/post/3ldxjwm3css2e,6,0,3,[],['']
3ldxrajurvc2c+partisocialiste.bsky.social,2024-12-23 11:48:55.147000,Parti socialiste,partisocialiste.bsky.social,"En cette journée de deuil national pour #Mayotte, mes pensées vont aux victimes du cyclone Chido, à leurs proches et à tous les Mahorais•es frappés par cette tragédie. 

Il faut renforcer la solidarité et mobiliser les moyens nécessaires à l’aide humanitaire et à la reconstruction.",https://bsky.app/profile/stephanetroussel.bsky.social/post/3ldxrajurvc2c,3ldxrajurvc2c,stephanetroussel.bsky.social,reposted,https://bsky.app/profile/stephanetroussel.bsky.social/post/3ldxrajurvc2c,6,0,2,[],[]
3ldxt52jnq22g+partisocialiste.bsky.social,2024-12-23 11:48:43.848000,Parti socialiste,partisocialiste.bsky.social,"En cette journée de deuil national, nos pensées et notre solidarité vont aux victimes du cyclone Chido, aux Mahoraises et aux Mahorais.

Face à ce drame, la reconstruction de #Mayotte doit être une priorité nationale.",https://bsky.app/profile/socialistesan.bsky.social/post/3ldxt52jnq22g,3ldxt52jnq22g,socialistesan.bsky.social,reposted,https://bsky.app/profile/socialistesan.bsky.social/post/3ldxt52jnq22g,9,0,3,[],['']
3ldxocwm2pk2l,2024-12-23 10:00:42.625000,Parti socialiste,partisocialiste.bsky.social,"⚫️ Solidarité avec #Mayotte

Au-delà de l’urgence et l’assistance immédiate, nous demandons la mobilisation de moyens à hauteur de la tragédie pour reconstruire et investir dans ce département le plus pauvre de France, notamment par un prélèvement de solidarité exceptionnelle sur les grandes fortunes",https://bsky.app/profile/partisocialiste.bsky.social/post/3ldxocwm2pk2l,,,,,38,4,14,[],"['', '']"
3ldr3otfebc2s,2024-12-20 19:11:22.389000,Parti socialiste,partisocialiste.bsky.social,"Courrier au Premier ministre

« Monsieur le Premier ministre, nous vous réaffirmons solennellement notre demande de suspension immédiate de la réforme des retraites. 
C’est à vous désormais de dire la façon dont vous entendez sortir de la crise dans laquelle nous nous trouvons. »",https://bsky.app/profile/partisocialiste.bsky.social/post/3ldr3otfebc2s,,,,,36,5,12,[],"['', '']"
