id,date,name,username,text,url,referenced_post_id,referenced_username,referenced_post_type,referenced_post_url,like_count,reply_count,repost_count,links,alt_texts
3ldym6civo227+ensembleue.bsky.social,2024-12-24 14:07:48.751,L’Europe Ensemble,ensembleue.bsky.social,"Félicitations au nouveau Gouvernement nommé ce soir, et en particulier à Jean-Noël Barrot et Benjamin Haddad pour leur reconduction.

La France et l’Europe compteront sur vos convictions pro-européennes précieuses !

🇫🇷🇪🇺",https://bsky.app/profile/valeriehayer.bsky.social/post/3ldym6civo227,3ldym6civo227,valeriehayer.bsky.social,reposted,https://bsky.app/profile/valeriehayer.bsky.social/post/3ldym6civo227,50,3,10,[],[]
3ldyiwm7urc2r,2024-12-23 17:57:00.129,Mouvement Démocrate,mouvementdemocrate.bsky.social,"📣🟠 Le Mouvement Démocrate adresse tous ses vœux de réussite au #GouvernementBayrou. 
Dans cette période de grandes incertitudes pour la France, ce gouvernement d’intérêt général devra répondre aux attentes des Français.

Un pays uni, rien ne lui résiste.",https://bsky.app/profile/mouvementdemocrate.bsky.social/post/3ldyiwm7urc2r,,,,,6,3,5,[],[]
3ldxytkycn22m+mouvementdemocrate.bsky.social,2024-12-23 14:06:22.055,Mouvement Démocrate,mouvementdemocrate.bsky.social,"Pour Mayotte. 
Le pays entier à vos côtés.",https://bsky.app/profile/bayrou.fr/post/3ldxytkycn22m,3ldxytkycn22m,bayrou.fr,reposted,https://bsky.app/profile/bayrou.fr/post/3ldxytkycn22m,13,1,3,[],[]
3ldxo56mcj22c,2024-12-23 09:57:29.708,Mouvement Démocrate,mouvementdemocrate.bsky.social,"🙏  #DeuilNational I Unis dans la douleur

Nos pensées accompagnent aujourd’hui les Mahoraises et Mahorais qui ont vu leur île dévastée par le cyclone Chido, et qui pourtant, font preuve d’une résilience qui nous oblige tous. 
Pleinement solidaires, nous nous tenons à vos côtés.",https://bsky.app/profile/mouvementdemocrate.bsky.social/post/3ldxo56mcj22c,,,,,2,0,2,[],[]
3ldxmhozdmc2w,2024-12-23 09:27:34.965,L’Europe Ensemble,ensembleue.bsky.social,"En ce jour de deuil national, nous rendons hommage aux victimes du cyclone Chido, qui a frappé avec une violence inouïe Mayotte.

Nous exprimons toute notre solidarité avec nos compatriotes mahorais.

Toute la nation est à leurs côtés, unie et fraternelle.",https://bsky.app/profile/ensembleue.bsky.social/post/3ldxmhozdmc2w,,,,,4,0,3,[],['']
3ldsnwe24us2v,2024-12-21 10:10:21.832,L’Europe Ensemble,ensembleue.bsky.social,"Ces chiffres sont édifiants et doivent nous interpeller. Les émissions sur l’🇪🇺 ne doivent pas disparaître. Au contraire, elles doivent se multiplier.

Merci à La Faute à l’Europe, et à toutes les personnes qui ont contribué à faire vivre cette émission importante, pour toutes ces années de travail.",https://bsky.app/profile/ensembleue.bsky.social/post/3ldsnwe24us2v,3ldsnv7ewv22v,ensembleue.bsky.social,replied_to,https://bsky.app/profile/ensembleue.bsky.social/post/3ldsnv7ewv22v,1,0,0,[],[]
3ldsnv7ewv22v,2024-12-21 10:09:43.388,L’Europe Ensemble,ensembleue.bsky.social,"En 2023, 5,7% du temps d’antenne des journaux nationaux concernait l’Union européenne selon une étude de la Fondation Jean Jaurès. Sur 1h d’information, seules 94 secondes étaient dédiés à des sujets 🇪🇺.

En 2020, 55% des Français s’estimaient mal informés sur l’Europe (enquête Eurobaromètre).",https://bsky.app/profile/ensembleue.bsky.social/post/3ldsnv7ewv22v,3ldsnugqobk2v,ensembleue.bsky.social,replied_to,https://bsky.app/profile/ensembleue.bsky.social/post/3ldsnugqobk2v,1,1,0,[],[]
3ldsnugqobk2v,2024-12-21 10:09:17.558,L’Europe Ensemble,ensembleue.bsky.social,"Le droit à l’information est un des fondements de nos démocraties. Informer sur l’Union européenne 🇪🇺 est essentiel. 

C’est pour cela que nous regrettons vivement l’arrêt de l’émission La Faute à l’Europe.",https://bsky.app/profile/ensembleue.bsky.social/post/3ldsnugqobk2v,,,,,3,1,2,[],[]
3ldrfads7gc2r+mouvementdemocrate.bsky.social,2024-12-20 22:49:46.957,Mouvement Démocrate,mouvementdemocrate.bsky.social,"Horrifié et profondément ému par le drame de ce soir à Magdeburg.

La France se tient aux côtés de l’Allemagne dans cette épreuve. Toutes nos pensées et condoléances aux proches des victimes ainsi qu’au peuple allemand.

Frankreich steht an Ihrer Seite.",https://bsky.app/profile/jnbarrot.bsky.social/post/3ldrfads7gc2r,3ldrfads7gc2r,jnbarrot.bsky.social,reposted,https://bsky.app/profile/jnbarrot.bsky.social/post/3ldrfads7gc2r,37,3,16,[],[]
3ldre6k77o22m,2024-12-20 21:43:19.568,L’Europe Ensemble,ensembleue.bsky.social,"L’Allemagne est plongée ce soir dans l’effroi. L’horreur absolue qui a frappé le marché de Noël de Magdebourg nous glace et nous bouleverse.

Nos cœurs sont avec nos amis allemands. Nos pensées vont aux victimes et à leurs proches.

Nous sommes à leurs côtés.",https://bsky.app/profile/ensembleue.bsky.social/post/3ldre6k77o22m,,,,,7,0,1,[],[]
3ldq2j43y322r+ensembleue.bsky.social,2024-12-20 12:44:49.046,L’Europe Ensemble,ensembleue.bsky.social,Nous devrions avoir un beau cadeau de Noël aujourd'hui... à suivre !,https://bsky.app/profile/grudlerch.bsky.social/post/3ldq2j43y322r,3ldq2j43y322r,grudlerch.bsky.social,reposted,https://bsky.app/profile/grudlerch.bsky.social/post/3ldq2j43y322r,3,0,1,[],['']
3ldq6en3dn22g,2024-12-20 10:26:41.724,Mouvement Démocrate,mouvementdemocrate.bsky.social,"« Quel est le seul projet qui vaille ? C’est de prendre les désidérata des Français et de les traiter un par un : dette, pouvoir d’achat, immigration, sécurité. Les partis doivent l’entendre et trouver une voie. »
🗣️ Bruno Millienne, porte-parole du #MoDem",https://bsky.app/profile/mouvementdemocrate.bsky.social/post/3ldq6en3dn22g,,,,,3,2,0,[],[]
3ldocxubqvs25+ensembleue.bsky.social,2024-12-20 09:06:07.152,L’Europe Ensemble,ensembleue.bsky.social,"Merci à Gisèle Pélicot !

Grâce à son courage, le procès #Mazan marque un tournant historique.  

La honte change de camp, les tabous se brisent, et la voix des victimes résonne enfin.  

Aujourd’hui, c’est une victoire pour toutes celles et ceux qui n’osaient pas encore demander justice.",https://bsky.app/profile/syoncourtin.bsky.social/post/3ldocxubqvs25,3ldocxubqvs25,syoncourtin.bsky.social,reposted,https://bsky.app/profile/syoncourtin.bsky.social/post/3ldocxubqvs25,5,0,1,[],['']
3ldowspwvac2z+ensembleue.bsky.social,2024-12-20 09:06:02.748,L’Europe Ensemble,ensembleue.bsky.social,"Le lancement de ce dialogue stratégique sur l’avenir de l’industrie automobile 🇪🇺 est une bonne nouvelle pour réussir à produire plus de voitures 0 émission en Europe, soutenir la demande, accompagner les sous-traitants, renforcer la filière batteries et rivaliser avec la Chine!",https://bsky.app/profile/pcanfin.bsky.social/post/3ldowspwvac2z,3ldowspwvac2z,pcanfin.bsky.social,reposted,https://bsky.app/profile/pcanfin.bsky.social/post/3ldowspwvac2z,3,0,2,[],[]
3ldkzayd3zk2b+ensembleue.bsky.social,2024-12-19 16:04:29.548,L’Europe Ensemble,ensembleue.bsky.social,"Il faut écouter la Présidente Zourabichvili.

Il faut écouter son récit glaçant de ce qui est en train de se jouer à Tbilissi.

C’est aussi notre avenir qui s’y joue.

Le peuple géorgien compte sur l’Europe. Faillir serait inadmissible.

Renew Europe se tient à leurs côtés.",https://bsky.app/profile/valeriehayer.bsky.social/post/3ldkzayd3zk2b,3ldkzayd3zk2b,valeriehayer.bsky.social,reposted,https://bsky.app/profile/valeriehayer.bsky.social/post/3ldkzayd3zk2b,86,7,37,[],['']
3ldldshfhy22k+ensembleue.bsky.social,2024-12-19 16:04:26.658,L’Europe Ensemble,ensembleue.bsky.social,"Réunion de travail avec le Commissaire @marossefcovic.bsky.social sur les derniers détails de la négociation pour de nouveaux accords inédits entre l'Union européenne et la Suisse.

En tant que Rapporteur du Parlement 🇪🇺 pour la 🇨🇭, je suis attentivement toutes les évolutions de ce dossier.",https://bsky.app/profile/grudlerch.bsky.social/post/3ldldshfhy22k,3ldldshfhy22k,grudlerch.bsky.social,reposted,https://bsky.app/profile/grudlerch.bsky.social/post/3ldldshfhy22k,5,0,3,[],['']
3ldlegtdxlk23+ensembleue.bsky.social,2024-12-19 16:04:22.657,L’Europe Ensemble,ensembleue.bsky.social,"C’est un honneur d’accueillir, ici à Strabourg, la présidente de Géorgie Salomé Zourabichvili.

Elle qui se bat avec courage et détermination pour faire entendre la volonté du peuple géorgien pour sa liberté, pour son avenir européen 🇬🇪🇪🇺

Bravo, Madame ! Le Parlement européen est à vos côtés !",https://bsky.app/profile/fabiennekeller.bsky.social/post/3ldlegtdxlk23,3ldlegtdxlk23,fabiennekeller.bsky.social,reposted,https://bsky.app/profile/fabiennekeller.bsky.social/post/3ldlegtdxlk23,50,0,15,[],"['', '', '', '']"
3ldlygdvmr22u+ensembleue.bsky.social,2024-12-19 16:04:19.947,L’Europe Ensemble,ensembleue.bsky.social,"Et si la paix en Israël et Palestine passait par les femmes ?

Les finalistes du prix Sakharov 2024, Women of the Sun et Women Wage Peace, en sont convaincues.

Elles étaient présentes ce soir lors de notre réunion de groupe @RenewEurope pour partager leur histoire.",https://bsky.app/profile/syoncourtin.bsky.social/post/3ldlygdvmr22u,3ldlygdvmr22u,syoncourtin.bsky.social,reposted,https://bsky.app/profile/syoncourtin.bsky.social/post/3ldlygdvmr22u,2,0,1,[],['']
3ldlzrcrc3k22+ensembleue.bsky.social,2024-12-19 16:04:13.755,L’Europe Ensemble,ensembleue.bsky.social,"Ce matin la présidente de Géorgie Salomé Zourabichvili est venue prononcer un vibrant plaidoyer en faveur du retour à la démocratie et de l’avenir européen de la Géorgie. Nous l’avions rencontrée la semaine dernière à Tbilissi, nous avons été heureux de l’accueillir à Strasbourg.",https://bsky.app/profile/nathalieloiseau.bsky.social/post/3ldlzrcrc3k22,3ldlzrcrc3k22,nathalieloiseau.bsky.social,reposted,https://bsky.app/profile/nathalieloiseau.bsky.social/post/3ldlzrcrc3k22,58,8,17,[],['']
3ldmcs45b3c27+ensembleue.bsky.social,2024-12-19 16:04:08.453,L’Europe Ensemble,ensembleue.bsky.social,"En réponse aux attentes des citoyens, le Parlement européen a décidé de créer 

🔹 commission permanente sur la sécurité & la défense
🔹 commission permanente de la santé publique
🔹 commission spéciale pour le Bouclier européen de la démocratie
🔹 commission spéciale sur la crise du logement dans l'UE",https://bsky.app/profile/mariepierrev.bsky.social/post/3ldmcs45b3c27,3ldmcs45b3c27,mariepierrev.bsky.social,reposted,https://bsky.app/profile/mariepierrev.bsky.social/post/3ldmcs45b3c27,10,1,2,[],[]
3ldnpxl4gtc2g+ensembleue.bsky.social,2024-12-19 16:04:01.556,L’Europe Ensemble,ensembleue.bsky.social,"Face aux difficultés du secteur #acier en 🇪🇺 je reviens dans cet article sur les pistes d'actions prioritaires qui permettront d'assurer une lutte efficace contre la concurrence déloyale, de soutenir la demande et les investissements dans l'acier vert #emploi #climat www.linkedin.com/pulse/mes-pr...",https://bsky.app/profile/pcanfin.bsky.social/post/3ldnpxl4gtc2g,3ldnpxl4gtc2g,pcanfin.bsky.social,reposted,https://bsky.app/profile/pcanfin.bsky.social/post/3ldnpxl4gtc2g,2,0,1,['https://www.linkedin.com/pulse/mes-propositions-pour-soutenir-le-secteur-de-lacier-en-pascal-canfin-uwkyc/'],[]
3ldnst5hbt226+ensembleue.bsky.social,2024-12-19 16:03:57.955,L’Europe Ensemble,ensembleue.bsky.social,"J’ai rassemblé ce matin les dirigeants européens libéraux et démocrates avant le sommet européen à Bruxelles.

Face aux défis géopolitiques, l’unité des Européens est impérative pour défendre nos valeurs comme nos intérêts.

La famille Renew Europe sera fermement au rendez-vous.",https://bsky.app/profile/valeriehayer.bsky.social/post/3ldnst5hbt226,3ldnst5hbt226,valeriehayer.bsky.social,reposted,https://bsky.app/profile/valeriehayer.bsky.social/post/3ldnst5hbt226,28,0,6,[],['']
