id,date,name,username,text,url,referenced_post_id,referenced_username,referenced_post_type,referenced_post_url,like_count,reply_count,repost_count,links,alt_texts
3ldoaqsqw3k2u,2024-12-19 16:03:58.334000,Jordan Bardella,jordanbardella.bsky.social,"En faisant face à ses accusés et en refusant le huis clos, Gisèle Pelicot a fait preuve d’un courage et d’une dignité qui ont ému la France.

Puisse ce procès libérer la parole encore, au bénéfice de toutes les victimes.",https://bsky.app/profile/jordanbardella.bsky.social/post/3ldoaqsqw3k2u,,,,,4,2,0,[],[]
3ld4h24sqpk2j+jordanbardella.bsky.social,2024-12-12 14:10:43.867000,Jordan Bardella,jordanbardella.bsky.social,Hello Bluesky welcome to my official account @lucashernandezoff.bsky.social ! ⚽,https://bsky.app/profile/lucashernandezoff.bsky.social/post/3ld4h24sqpk2j,3ld4h24sqpk2j,lucashernandezoff.bsky.social,reposted,https://bsky.app/profile/lucashernandezoff.bsky.social/post/3ld4h24sqpk2j,30,3,2,[],[]
3ld3xeqpx7c24,2024-12-12 09:28:14.585000,Jordan Bardella,jordanbardella.bsky.social,"Les groupes de François Xavier Bellamy et de @valeriehayer.bsky.social viennent de refuser qu'un débat sur le Mercosur ait lieu au Parlement européen, demande de la délégation du @rnationalofficiel.bsky.social .",https://bsky.app/profile/jordanbardella.bsky.social/post/3ld3xeqpx7c24,,,,,7,5,1,[],[]
3lcxtysfwuk25,2024-12-10 18:17:13.521000,Jordan Bardella,jordanbardella.bsky.social,"Jérémie Greco, 54 ans, a perdu la vie en s’opposant au vol de sa moto à Orsay. 

Au moins deux ressortissants tunisiens, dont l’un sous OQTF, ont été interpellés. Chaque jour, c’est la même barbarie ordinaire qui frappe la France et des innocents.",https://bsky.app/profile/jordanbardella.bsky.social/post/3lcxtysfwuk25,,,,,27,17,11,[],['']
3lcrrec6xwk27+jordanbardella.bsky.social,2024-12-08 08:23:13.251000,Jordan Bardella,jordanbardella.bsky.social,Les agriculteurs ne doivent pas s'inquiéter et céder aux mensonges de la Macronie. Toutes les aides vont être basculées sur le nouveau budget. Celui de Michel Barnier prévoyait une baisse de 13% des crédits pour l'agriculture !,https://bsky.app/profile/sebastienchenu.bsky.social/post/3lcrrec6xwk27,3lcrrec6xwk27,sebastienchenu.bsky.social,reposted,https://bsky.app/profile/sebastienchenu.bsky.social/post/3lcrrec6xwk27,7,2,1,[],[]
3lcndypoc2c2i,2024-12-06 14:04:13.397000,Jordan Bardella,jordanbardella.bsky.social,Les parlementaires du Rassemblement National défendent leurs électeurs et jouent leur rôle d'opposants dans le cadre des institutions républicaines. Cette manière qu'ont le président de la République et ses soutiens de les pointer d'un doigt vengeur est très inquiétante en démocratie. 2/2,https://bsky.app/profile/jordanbardella.bsky.social/post/3lcndypoc2c2i,3lcndxuxy5s2i,jordanbardella.bsky.social,replied_to,https://bsky.app/profile/jordanbardella.bsky.social/post/3lcndxuxy5s2i,7,3,1,[],[]
3lcndxuxy5s2i,2024-12-06 14:03:45.403000,Jordan Bardella,jordanbardella.bsky.social,"Dans son allocution, Emmanuel Macron s'est inscrit dans une dérive préoccupante de la macronie : prétendre que s'opposer à elle, contester ses choix, est par principe illégitime, irresponsable et condamnable. 1/2",https://bsky.app/profile/jordanbardella.bsky.social/post/3lcndxuxy5s2i,,,,,10,1,2,[],[]
3lckfwirgy225+jordanbardella.bsky.social,2024-12-05 10:04:56.553000,Jordan Bardella,jordanbardella.bsky.social,"Ce soir, nous avons voté POUR la censure du budget et du gouvernement de Michel Barnier. 

Hausse d’impôts, baisse des retraites, baisse du remboursement des médicaments……nous avons défendu la France qui travaille et qui a travaillé, celle qui n’a pas à subir les erreurs des gouvernements !",https://bsky.app/profile/sebastienchenu.bsky.social/post/3lckfwirgy225,3lckfwirgy225,sebastienchenu.bsky.social,reposted,https://bsky.app/profile/sebastienchenu.bsky.social/post/3lckfwirgy225,8,1,4,[],[]
3lckfmwx4uk25,2024-12-05 09:55:26.642000,Jordan Bardella,jordanbardella.bsky.social,"Ce que j'attends du nouveau Premier ministre, c'est d'abord le respect l'égard de nos 11 millions d'électeurs, et la prise en compte de l'urgence sociale dans le pays. 

Tout nom de ministre issu du Nouveau Front Populaire serait immédiatement refusé par le RN. #MotionDeCensure",https://bsky.app/profile/jordanbardella.bsky.social/post/3lckfmwx4uk25,,,,,18,10,9,[],[]
3lcixiyog222f,2024-12-04 20:10:02.112000,Jordan Bardella,jordanbardella.bsky.social,"On a fait un choix de responsabilité en censurant le gouvernement. On ne pouvait pas laisser passer un budget avec 40 milliards d’euros d’impôts supplémentaires, dans un pays qui a déjà le record des prélèvements obligatoires.",https://bsky.app/profile/jordanbardella.bsky.social/post/3lcixiyog222f,,,,,13,1,8,[],[]
3lcfsya7mk22y,2024-12-03 14:11:05.409000,Jordan Bardella,jordanbardella.bsky.social,"En 1990, la coalition de droite et le PCF ont voté la même motion de censure : il n’y avait aucune alliance entre eux.
Qu’ils cessent donc leurs mensonges et leurs enfantillages : leur politique est profondément mauvaise pour le pays et il est parfaitement normal que nous en protégions les Français.",https://bsky.app/profile/jordanbardella.bsky.social/post/3lcfsya7mk22y,3lcfsxm7dbs2y,jordanbardella.bsky.social,replied_to,https://bsky.app/profile/jordanbardella.bsky.social/post/3lcfsxm7dbs2y,6,4,0,[],[]
3lcfsxm7dbs2y,2024-12-03 14:10:44.427000,Jordan Bardella,jordanbardella.bsky.social,"Les macronistes et les LR fustigent une prétendue « alliance » RN - LFI.
C’est méconnaître les institutions de la 5ème République héritées du Général de Gaulle. Une motion de censure n’est pas une alliance : c’est l’expression d’une défiance, d’un désaccord avec la politique du gouvernement.",https://bsky.app/profile/jordanbardella.bsky.social/post/3lcfsxm7dbs2y,,,,,9,5,1,[],[]
3lcfbsoscps2r,2024-12-03 09:03:45.764000,Jordan Bardella,jordanbardella.bsky.social,"En juin dernier, les Français ont voulu tourner la page.
Il n'y a pas d'issue pour un gouvernement qui renoue avec le fil du macronisme, qui refuse de prendre en compte l'urgence sociale de la fin du mois et qui ignore la nécessité de relancer la croissance.
Le RN votera la motion de censure.",https://bsky.app/profile/jordanbardella.bsky.social/post/3lcfbsoscps2r,,,,,12,6,8,[],[]
3lc3uz7y4vc2f,2024-11-29 15:20:48.817000,Jordan Bardella,jordanbardella.bsky.social,"Notre-Dame renaît.

Félicitations notamment aux Compagnons du Devoir dont le travail minutieux a permis de restaurer la cathédrale dans toute sa superbe. 

Une belle illustration du fait que la France peut étonner le monde si elle garde confiance en elle-même et en son génie.",https://bsky.app/profile/jordanbardella.bsky.social/post/3lc3uz7y4vc2f,,,,,21,7,7,[],[]
3lbzhoyrgtc2e+jordanbardella.bsky.social,2024-11-28 16:17:25.569000,Jordan Bardella,jordanbardella.bsky.social,"La majorité des français et des députés rejette l’injuste réforme des retraites d’Emmanuel Macron et pourtant les députés NFP, LR et du camp présidentiel font barrage à son abrogation ! 

Une seule solution pour les français : vite une majorité 
@rnationalofficiel.bsky.social 
 !",https://bsky.app/profile/sebastienchenu.bsky.social/post/3lbzhoyrgtc2e,3lbzhoyrgtc2e,sebastienchenu.bsky.social,reposted,https://bsky.app/profile/sebastienchenu.bsky.social/post/3lbzhoyrgtc2e,11,2,6,[],[]
3lbzfimra5c2k,2024-11-28 15:37:46.194000,Jordan Bardella,jordanbardella.bsky.social,"Ces mesures de bon sens sont réalistes, rapidement applicables et attendues par une immense majorité de Français. Le Premier ministre ne peut y rester sourd. Il lui reste quelques jours.",https://bsky.app/profile/jordanbardella.bsky.social/post/3lbzfimra5c2k,3lbzfigsdqk2k,jordanbardella.bsky.social,replied_to,https://bsky.app/profile/jordanbardella.bsky.social/post/3lbzfigsdqk2k,5,1,0,[],[]
3lbzfigsdqk2k,2024-11-28 15:37:39.939000,Jordan Bardella,jordanbardella.bsky.social,"Un sérieux tour de vis migratoire et pénal doit être engagé, sans que l'on se paye de mots et de promesses : notre pays ne peut plus accueillir une immigration de masse qui bouleverse son identité et pèse lourdement sur ses comptes publics.",https://bsky.app/profile/jordanbardella.bsky.social/post/3lbzfigsdqk2k,3lbzfhry4fs2k,jordanbardella.bsky.social,replied_to,https://bsky.app/profile/jordanbardella.bsky.social/post/3lbzfhry4fs2k,6,1,0,[],[]
3lbzfhry4fs2k,2024-11-28 15:37:18.108000,Jordan Bardella,jordanbardella.bsky.social,"La France qui travaille ou qui a travaillé doit être entendue : il faut un moratoire sur toute nouvelle création ou hausse d'impôt et de taxe, des mesures fortes en faveur de la compétitivité de nos TPE-PME, et la réindexation des pensions dès le 1er janvier.",https://bsky.app/profile/jordanbardella.bsky.social/post/3lbzfhry4fs2k,3lbzfh6pmuk2k,jordanbardella.bsky.social,replied_to,https://bsky.app/profile/jordanbardella.bsky.social/post/3lbzfh6pmuk2k,5,4,0,[],[]
3lbzfh6pmuk2k,2024-11-28 15:36:57.907000,Jordan Bardella,jordanbardella.bsky.social,"Il doit également renoncer au déremboursement supplémentaire de médicaments, mesure inacceptable alors que des millions de Français renoncent à se soigner faute de moyens et que, dans le même temps, la coûteuse AME est maintenue pour les clandestins.",https://bsky.app/profile/jordanbardella.bsky.social/post/3lbzfh6pmuk2k,3lbzfesjvzs2k,jordanbardella.bsky.social,replied_to,https://bsky.app/profile/jordanbardella.bsky.social/post/3lbzfesjvzs2k,5,3,0,[],[]
3lbzfesjvzs2k,2024-11-28 15:35:38.017000,Jordan Bardella,jordanbardella.bsky.social,"Le Rassemblement National vient de remporter une victoire en obtenant de Michel Barnier l’annulation de la taxe de 3 milliards d'euros sur l’électricité. Grâce à notre action déterminée, les prix de l’énergie n'augmenteraient pas pour les Français en 2025, si cette promesse est bien respectée.",https://bsky.app/profile/jordanbardella.bsky.social/post/3lbzfesjvzs2k,,,,,21,6,10,[],[]
3lbz5agtumk2c+jordanbardella.bsky.social,2024-11-28 13:11:13.256000,Jordan Bardella,jordanbardella.bsky.social,Bonjour @bsky.app !,https://bsky.app/profile/sebastienchenu.bsky.social/post/3lbz5agtumk2c,3lbz5agtumk2c,sebastienchenu.bsky.social,reposted,https://bsky.app/profile/sebastienchenu.bsky.social/post/3lbz5agtumk2c,15,7,5,[],[]
3lbytgvfml22p+jordanbardella.bsky.social,2024-11-28 10:15:19.257000,Jordan Bardella,jordanbardella.bsky.social,"Bellamy, conservateur â Versailles, macroniste à Bruxelles. 

Champion d’Europe des faux-culs toutes catégories confondues, il prétend encore donner des leçons de morale avec ses arguties grotesques. 

Bravo 
@jordanbardella.bsky.social 
 d’avoir dénoncé les vices qu’il maquille en vertus.",https://bsky.app/profile/jptanguy.bsky.social/post/3lbytgvfml22p,3lbytgvfml22p,jptanguy.bsky.social,reposted,https://bsky.app/profile/jptanguy.bsky.social/post/3lbytgvfml22p,11,4,6,[],[]
3lbynmc7liu25+jordanbardella.bsky.social,2024-11-28 08:30:58.552000,Jordan Bardella,jordanbardella.bsky.social,Bonjour Bluesky !,https://bsky.app/profile/jptanguy.bsky.social/post/3lbynmc7liu25,3lbynmc7liu25,jptanguy.bsky.social,reposted,https://bsky.app/profile/jptanguy.bsky.social/post/3lbynmc7liu25,19,6,5,[],[]
3lbxcpqqjks2c,2024-11-27 19:42:44.537000,Jordan Bardella,jordanbardella.bsky.social,"🇫🇷 Toujours auprès de vous : je suis ce soir à #Strasbourg !

Ici aussi, vous êtes extrêmement nombreux et votre soutien m’honore.

Alors que notre pays vit une situation difficile, nous sommes une alternative à ceux qui ont échoué et mené la France dans la situation actuelle.",https://bsky.app/profile/jordanbardella.bsky.social/post/3lbxcpqqjks2c,,,,,10,4,2,[],"['', '', '', '']"
3lbwm7o3tnc2f,2024-11-27 13:00:02.577000,Jordan Bardella,jordanbardella.bsky.social,"Les masques des LR tombent au Parlement européen : après avoir fait campagne contre Ursula von der Leyen, François Xavier Bellamy vient de voter pour la reconduction de la Commission européenne, qui comprend (entre autres) Stéphane Séjourné et un commissaire résolument anti-nucléaire.",https://bsky.app/profile/jordanbardella.bsky.social/post/3lbwm7o3tnc2f,,,,,16,2,6,[],[]
3lbw32xtihk2h,2024-11-27 07:53:11.401000,Jordan Bardella,jordanbardella.bsky.social,"Dès septembre, nous avons alerté le gouvernement de Michel Barnier sur la reprise des mobilisations agricoles, en l’absence d’une réponse politique de fond.

Les causes de la révolte paysanne de ce début d’année sont toujours là : fardeau normatif, concurrence déloyale, écologie punitive...",https://bsky.app/profile/jordanbardella.bsky.social/post/3lbw32xtihk2h,,,,,9,1,5,[],['']
3lcxtysfwuk25+sebastienchenu.bsky.social,2024-12-10 18:18:50.357000,Sébastien Chenu,sebastienchenu.bsky.social,"Jérémie Greco, 54 ans, a perdu la vie en s’opposant au vol de sa moto à Orsay. 

Au moins deux ressortissants tunisiens, dont l’un sous OQTF, ont été interpellés. Chaque jour, c’est la même barbarie ordinaire qui frappe la France et des innocents.",https://bsky.app/profile/jordanbardella.bsky.social/post/3lcxtysfwuk25,3lcxtysfwuk25,jordanbardella.bsky.social,reposted,https://bsky.app/profile/jordanbardella.bsky.social/post/3lcxtysfwuk25,27,17,11,[],['']
3lcrrec6xwk27,2024-12-08 08:13:59.515000,Sébastien Chenu,sebastienchenu.bsky.social,Les agriculteurs ne doivent pas s'inquiéter et céder aux mensonges de la Macronie. Toutes les aides vont être basculées sur le nouveau budget. Celui de Michel Barnier prévoyait une baisse de 13% des crédits pour l'agriculture !,https://bsky.app/profile/sebastienchenu.bsky.social/post/3lcrrec6xwk27,,,,,7,2,1,[],[]
