id,date,name,username,text,url,referenced_post_id,referenced_username,referenced_post_type,referenced_post_url,like_count,reply_count,repost_count,links,alt_texts
3lbsakitjjc2f+ensembleue.bsky.social,2024-11-25 19:25:10.459000,L’Europe Ensemble,ensembleue.bsky.social,"Stop #ViolenceAgainstWomen!

#OrangeTheWorld 

📍 Parlement européen, Strasbourg 🧡",https://bsky.app/profile/fabiennekeller.bsky.social/post/3lbsakitjjc2f,3lbsakitjjc2f,fabiennekeller.bsky.social,reposted,https://bsky.app/profile/fabiennekeller.bsky.social/post/3lbsakitjjc2f,17,0,5,[],['']
3lbs5umo6hs2j+ensembleue.bsky.social,2024-11-25 19:24:48.661000,L’Europe Ensemble,ensembleue.bsky.social,"La violence à l’égard des femmes reste une urgence mondiale !

Au delà des chiffres, ce sont des vies qui sont brisées ou ôtées, le combat contre toute forme de violence demeure une priorité de @ensembleue.bsky.social & une conviction personnelle

#PasDExcuse #TousUNIS
#OrangeTheWorld",https://bsky.app/profile/mariepierrev.bsky.social/post/3lbs5umo6hs2j,3lbs5umo6hs2j,mariepierrev.bsky.social,reposted,https://bsky.app/profile/mariepierrev.bsky.social/post/3lbs5umo6hs2j,5,0,5,[],['']
3lbrnnzbqqc2s,2024-11-25 13:42:39.117000,L’Europe Ensemble,ensembleue.bsky.social,"« Notre position sur le Mercosur, depuis 2019, a toujours été de dire que cet accord n'est pas acceptable en l'état.

Le sujet c'est que les accords de commerce doivent répondre à nos objectifs de compétitivité, de sécurité, de durabilité » — @mariepierrev.bsky.social",https://bsky.app/profile/ensembleue.bsky.social/post/3lbrnnzbqqc2s,,,,,1,0,1,[],[]
3lbrla4ogxc2z,2024-11-25 12:59:05.431000,L’Europe Ensemble,ensembleue.bsky.social,"Nouvelle session plénière à Strasbourg ! À l’ordre du jour :

🇪🇺  Vote sur la nouvelle Commission européenne 
🚺 Lutte contre les violences faites aux femmes 
🇺🇦 Situation en Ukraine
🌍 Situation au Proche-Orient
💶 Budget européen pour 2026
🇬🇪 Ingérences et fraudes lors des élections en Géorgie",https://bsky.app/profile/ensembleue.bsky.social/post/3lbrla4ogxc2z,,,,,1,0,1,[],['']
3lbrkn2z7zs2g+ensembleue.bsky.social,2024-11-25 12:50:04.455000,L’Europe Ensemble,ensembleue.bsky.social,"Désaveu cinglant pour Meloni qui se résout à rapatrier 250 policiers des centres pour migrants en Albanie, restés quasi vides depuis leur ouverture en dépit des 3000 places disponibles

L'externalisation migratoire est une impasse au coût exorbitant 🧶⤵️

www.theguardian.com/world/2024/n...",https://bsky.app/profile/fabiennekeller.bsky.social/post/3lbrkn2z7zs2g,3lbrkn2z7zs2g,fabiennekeller.bsky.social,reposted,https://bsky.app/profile/fabiennekeller.bsky.social/post/3lbrkn2z7zs2g,43,4,30,['https://www.theguardian.com/world/2024/nov/24/italian-police-and-social-workers-leave-albania-after-staffing-empty-migrant-centres'],[]
3lbra4rgjq22o+ensembleue.bsky.social,2024-11-25 10:43:39.952000,L’Europe Ensemble,ensembleue.bsky.social,"Vladimir Poutine a agressé un pays souverain, déporte des enfants et bombarde des civils.

Ce que nous soutenons n’est rien d’autre que la légitime défense du peuple ukrainien. Et nous continuerons.",https://bsky.app/profile/valeriehayer.bsky.social/post/3lbra4rgjq22o,3lbra4rgjq22o,valeriehayer.bsky.social,reposted,https://bsky.app/profile/valeriehayer.bsky.social/post/3lbra4rgjq22o,50,5,20,[],[]
3lbrblsug6k2h,2024-11-25 10:06:40.376000,L’Europe Ensemble,ensembleue.bsky.social,"En Europe 🇪🇺, 1 femme sur 3 a subi des violences physiques ou sexuelles.

En France, ce sont 122 féminicides depuis le début de l’année. 122 femmes qui ont été tuées.

C’est insoutenable.

Cette violence à l’encontre des femmes doit cesser.

La honte doit changer de camp.",https://bsky.app/profile/ensembleue.bsky.social/post/3lbrblsug6k2h,,,,,6,0,3,[],['']
3lbncbyasqs2y+ensembleue.bsky.social,2024-11-24 19:34:59.268000,L’Europe Ensemble,ensembleue.bsky.social,"On se retrouve demain sur LCP à 14h25 pour parler commerce international à l’heure du retour de Trump & aussi de l’accord entre l’UE & #Mercosur

Et dejà l’émission Ici l’#Europe à retrouver 📺 www.youtube.com/watch?v=0TZ8...",https://bsky.app/profile/mariepierrev.bsky.social/post/3lbncbyasqs2y,3lbncbyasqs2y,mariepierrev.bsky.social,reposted,https://bsky.app/profile/mariepierrev.bsky.social/post/3lbncbyasqs2y,6,0,2,['https://www.youtube.com/watch?v=0TZ8ai7TUcw'],[]
3lbossfa2f227+ensembleue.bsky.social,2024-11-24 19:34:50.865000,L’Europe Ensemble,ensembleue.bsky.social,"Dans la matinale de France Inter, je suis revenue sur le Mercosur, la guerre russe en Ukraine et le vote de mercredi prochain sur la Commission européenne. 

L’interview de 7h50 : www.radiofrance.fr/franceinter/...",https://bsky.app/profile/valeriehayer.bsky.social/post/3lbossfa2f227,3lbossfa2f227,valeriehayer.bsky.social,reposted,https://bsky.app/profile/valeriehayer.bsky.social/post/3lbossfa2f227,49,2,9,['https://www.radiofrance.fr/franceinter/podcasts/l-invite-de-7h50-du-week-end/l-invite-de-7h50-du-we-du-samedi-23-novembre-2024-6996586'],[]
3lbpmcbcdgc2s,2024-11-24 18:12:51.650000,L’Europe Ensemble,ensembleue.bsky.social,"📺 @valeriehayer.bsky.social sera l’invitée de BFM TV ce soir, à partir de 20h30.",https://bsky.app/profile/ensembleue.bsky.social/post/3lbpmcbcdgc2s,,,,,4,0,1,[],['']
3lbkgaevsfc2s,2024-11-22 16:41:07.159000,L’Europe Ensemble,ensembleue.bsky.social,"📺 @mariepierrev.bsky.social sera l'invitée de France Info demain, à partir de 13h25.",https://bsky.app/profile/ensembleue.bsky.social/post/3lbkgaevsfc2s,,,,,1,0,0,[],['']
3lbkau4h3m22m,2024-11-22 15:04:46.926000,L’Europe Ensemble,ensembleue.bsky.social,"🎙️ @valeriehayer.bsky.social sera l'invitée de France Inter demain, à partir de 7h50.",https://bsky.app/profile/ensembleue.bsky.social/post/3lbkau4h3m22m,,,,,9,1,4,[],['']
3lbk2aecdac2e,2024-11-22 13:06:21.615000,L’Europe Ensemble,ensembleue.bsky.social,"🎙️ @nathalieloiseau.bsky.social sera l'invitée de France Info (radio) aujourd'hui, à partir de 18h30.",https://bsky.app/profile/ensembleue.bsky.social/post/3lbk2aecdac2e,,,,,4,0,0,[],['']
3lbjc3vpl7c2j+ensembleue.bsky.social,2024-11-22 09:47:49.861000,L’Europe Ensemble,ensembleue.bsky.social,"En route vers la Moldavie où l’accompagne Benjamin Haddad, en soutien à ce pays candidat à l’Union européenne et aux prises avec des ingérences russes innombrables.",https://bsky.app/profile/nathalieloiseau.bsky.social/post/3lbjc3vpl7c2j,3lbjc3vpl7c2j,nathalieloiseau.bsky.social,reposted,https://bsky.app/profile/nathalieloiseau.bsky.social/post/3lbjc3vpl7c2j,83,6,8,[],['']
3lbhao3zlo22b+ensembleue.bsky.social,2024-11-21 11:30:12.890000,L’Europe Ensemble,ensembleue.bsky.social,"Félicitations cher Stéphane Séjourné !

Avec ta confirmation au poste de Vice-président exécutif de la Commission chargé de l'industrie et la prospérité, notre groupe @reneweurope.bsky.social sera au coeur de la construction d'une #Europe souveraine et stratégique 🇪🇺

t.co/TwENxXQ5Hl",https://bsky.app/profile/fabiennekeller.bsky.social/post/3lbhao3zlo22b,3lbhao3zlo22b,fabiennekeller.bsky.social,reposted,https://bsky.app/profile/fabiennekeller.bsky.social/post/3lbhao3zlo22b,19,0,8,['https://t.co/TwENxXQ5Hl'],[]
3lbg25eobt22l+ensembleue.bsky.social,2024-11-21 10:17:21.083000,L’Europe Ensemble,ensembleue.bsky.social,"@borderlex.bsky.social merci pour l’invitation à échanger sur le chemin parcouru & surtout celui qu’il reste à dessiner pour renforcer l’unité🇪🇺dans un monde où #Trump ou tant d’autres ne nous feront aucun cadeau 

Ready for the worst ? Not yet, so two words for our mindset : stronger & faster",https://bsky.app/profile/mariepierrev.bsky.social/post/3lbg25eobt22l,3lbg25eobt22l,mariepierrev.bsky.social,reposted,https://bsky.app/profile/mariepierrev.bsky.social/post/3lbg25eobt22l,3,0,1,[],['']
3lbfthqxhcs2f,2024-11-20 20:54:34.654000,L’Europe Ensemble,ensembleue.bsky.social,"Félicitations Stéphane Séjourné 👏👏👏 pour ta confirmation en tant que vice-président exécutif de la Commission 🇪🇺 !

Nous nous battrons à tes côtés pour une Europe prospère, à l’industrie verte, créatrice d’emplois, de secteurs d’avenir et capable d’offrir aux Européens des opportunités au quotidien !",https://bsky.app/profile/ensembleue.bsky.social/post/3lbfthqxhcs2f,,,,,11,0,4,[],['']
