inner_id;topic;topic_idx;data.text;data.name;file_upload;id;data.url;data.username;data.date
1;"[""social""]";[11];"Stop #ViolenceAgainstWomen!

#OrangeTheWorld 

📍 Parlement européen, Strasbourg 🧡";L’Europe Ensemble;1de050d6-bluesky-comptes-politiques-2_.csv;1;https://bsky.app/profile/fabiennekeller.bsky.social/post/3lbsakitjjc2f;ensembleue.bsky.social;2024-11-25 19:25:10.459000
2;"[""social""]";[11];"La violence à l’égard des femmes reste une urgence mondiale !

Au delà des chiffres, ce sont des vies qui sont brisées ou ôtées, le combat contre toute forme de violence demeure une priorité de @ensembleue.bsky.social & une conviction personnelle

#PasDExcuse #TousUNIS
#OrangeTheWorld";L’Europe Ensemble;1de050d6-bluesky-comptes-politiques-2_.csv;2;https://bsky.app/profile/mariepierrev.bsky.social/post/3lbs5umo6hs2j;ensembleue.bsky.social;2024-11-25 19:24:48.661000
3;"[""international"",""économie""]";[8,3];"« Notre position sur le Mercosur, depuis 2019, a toujours été de dire que cet accord n'est pas acceptable en l'état.

Le sujet c'est que les accords de commerce doivent répondre à nos objectifs de compétitivité, de sécurité, de durabilité » — @mariepierrev.bsky.social";L’Europe Ensemble;1de050d6-bluesky-comptes-politiques-2_.csv;3;https://bsky.app/profile/ensembleue.bsky.social/post/3lbrnnzbqqc2s;ensembleue.bsky.social;2024-11-25 13:42:39.117000
4;"[""international"",""économie"",""social""]";[8,3,11];"Nouvelle session plénière à Strasbourg ! À l’ordre du jour :

🇪🇺  Vote sur la nouvelle Commission européenne 
🚺 Lutte contre les violences faites aux femmes 
🇺🇦 Situation en Ukraine
🌍 Situation au Proche-Orient
💶 Budget européen pour 2026
🇬🇪 Ingérences et fraudes lors des élections en Géorgie";L’Europe Ensemble;1de050d6-bluesky-comptes-politiques-2_.csv;4;https://bsky.app/profile/ensembleue.bsky.social/post/3lbrla4ogxc2z;ensembleue.bsky.social;2024-11-25 12:59:05.431000
5;"[""international"",""immigration""]";[8,7];"Désaveu cinglant pour Meloni qui se résout à rapatrier 250 policiers des centres pour migrants en Albanie, restés quasi vides depuis leur ouverture en dépit des 3000 places disponibles

L'externalisation migratoire est une impasse au coût exorbitant 🧶⤵️

www.theguardian.com/world/2024/n...";L’Europe Ensemble;1de050d6-bluesky-comptes-politiques-2_.csv;5;https://bsky.app/profile/fabiennekeller.bsky.social/post/3lbrkn2z7zs2g;ensembleue.bsky.social;2024-11-25 12:50:04.455000
6;"[""international""]";[8];"Vladimir Poutine a agressé un pays souverain, déporte des enfants et bombarde des civils.

Ce que nous soutenons n’est rien d’autre que la légitime défense du peuple ukrainien. Et nous continuerons.";L’Europe Ensemble;1de050d6-bluesky-comptes-politiques-2_.csv;6;https://bsky.app/profile/valeriehayer.bsky.social/post/3lbra4rgjq22o;ensembleue.bsky.social;2024-11-25 10:43:39.952000
7;"[""social""]";[11];"En Europe 🇪🇺, 1 femme sur 3 a subi des violences physiques ou sexuelles.

En France, ce sont 122 féminicides depuis le début de l’année. 122 femmes qui ont été tuées.

C’est insoutenable.

Cette violence à l’encontre des femmes doit cesser.

La honte doit changer de camp.";L’Europe Ensemble;1de050d6-bluesky-comptes-politiques-2_.csv;7;https://bsky.app/profile/ensembleue.bsky.social/post/3lbrblsug6k2h;ensembleue.bsky.social;2024-11-25 10:06:40.376000
8;"[""international"",""économie"",""vie politique""]";[8,3,15];"On se retrouve demain sur LCP à 14h25 pour parler commerce international à l’heure du retour de Trump & aussi de l’accord entre l’UE & #Mercosur

Et dejà l’émission Ici l’#Europe à retrouver 📺 www.youtube.com/watch?v=0TZ8...";L’Europe Ensemble;1de050d6-bluesky-comptes-politiques-2_.csv;8;https://bsky.app/profile/mariepierrev.bsky.social/post/3lbncbyasqs2y;ensembleue.bsky.social;2024-11-24 19:34:59.268000
9;"[""international"",""économie"",""vie politique""]";[8,3,15];"Dans la matinale de France Inter, je suis revenue sur le Mercosur, la guerre russe en Ukraine et le vote de mercredi prochain sur la Commission européenne. 

L’interview de 7h50 : www.radiofrance.fr/franceinter/...";L’Europe Ensemble;1de050d6-bluesky-comptes-politiques-2_.csv;9;https://bsky.app/profile/valeriehayer.bsky.social/post/3lbossfa2f227;ensembleue.bsky.social;2024-11-24 19:34:50.865000
10;"[""vie politique""]";[15];📺 @valeriehayer.bsky.social sera l’invitée de BFM TV ce soir, à partir de 20h30.;L’Europe Ensemble;1de050d6-bluesky-comptes-politiques-2_.csv;10;https://bsky.app/profile/ensembleue.bsky.social/post/3lbpmcbcdgc2s;ensembleue.bsky.social;2024-11-24 18:12:51.650000
11;"[""vie politique""]";[15];📺 @mariepierrev.bsky.social sera l'invitée de France Info demain, à partir de 13h25.;L’Europe Ensemble;1de050d6-bluesky-comptes-politiques-2_.csv;11;https://bsky.app/profile/ensembleue.bsky.social/post/3lbkgaevsfc2s;ensembleue.bsky.social;2024-11-22 16:41:07.159000
12;"[""vie politique""]";[15];🎙️ @valeriehayer.bsky.social sera l'invitée de France Inter demain, à partir de 7h50.;L’Europe Ensemble;1de050d6-bluesky-comptes-politiques-2_.csv;12;https://bsky.app/profile/ensembleue.bsky.social/post/3lbkau4h3m22m;ensembleue.bsky.social;2024-11-22 15:04:46.926000
13;"[""vie politique""]";[15];🎙️ @nathalieloiseau.bsky.social sera l'invitée de France Info (radio) aujourd'hui, à partir de 18h30.;L’Europe Ensemble;1de050d6-bluesky-comptes-politiques-2_.csv;13;https://bsky.app/profile/ensembleue.bsky.social/post/3lbk2aecdac2e;ensembleue.bsky.social;2024-11-22 13:06:21.615000
14;"[""international""]";[8];En route vers la Moldavie où l’accompagne Benjamin Haddad, en soutien à ce pays candidat à l’Union européenne et aux prises avec des ingérences russes innombrables.;L’Europe Ensemble;1de050d6-bluesky-comptes-politiques-2_.csv;14;https://bsky.app/profile/nathalieloiseau.bsky.social/post/3lbjc3vpl7c2j;ensembleue.bsky.social;2024-11-22 09:47:49.861000
