"alt_texts","annotation_id","annotator","created_at","date","id","lead_time","like_count","links","name","referenced_post_id","referenced_post_type","referenced_post_url","referenced_username","reply_count","repost_count","sentiment","text","updated_at","url","username"
"['']",1,"1","2024-11-29T10:38:25.544918Z","2024-11-25 19:25:10.459000","3lbsakitjjc2f+ensembleue.bsky.social",39.767,17,"[]","L’Europe Ensemble","3lbsakitjjc2f","reposted","https://bsky.app/profile/fabiennekeller.bsky.social/post/3lbsakitjjc2f","fabiennekeller.bsky.social",0,5,"social","Stop #ViolenceAgainstWomen!

#OrangeTheWorld 

📍 Parlement européen, Strasbourg 🧡","2024-11-29T10:38:25.545921Z","https://bsky.app/profile/fabiennekeller.bsky.social/post/3lbsakitjjc2f","ensembleue.bsky.social"
"['']",2,"1","2024-11-29T10:38:59.695668Z","2024-11-25 19:24:48.661000","3lbs5umo6hs2j+ensembleue.bsky.social",33.82,5,"[]","L’Europe Ensemble","3lbs5umo6hs2j","reposted","https://bsky.app/profile/mariepierrev.bsky.social/post/3lbs5umo6hs2j","mariepierrev.bsky.social",0,5,"social","La violence à l’égard des femmes reste une urgence mondiale !

Au delà des chiffres, ce sont des vies qui sont brisées ou ôtées, le combat contre toute forme de violence demeure une priorité de @ensembleue.bsky.social & une conviction personnelle

#PasDExcuse #TousUNIS
#OrangeTheWorld","2024-11-29T10:38:59.695668Z","https://bsky.app/profile/mariepierrev.bsky.social/post/3lbs5umo6hs2j","ensembleue.bsky.social"
"[]",3,"1","2024-11-29T10:40:59.498624Z","2024-11-25 13:42:39.117000","3lbrnnzbqqc2s",126.256,1,"[]","L’Europe Ensemble","","","","",0,1,"{""choices"":[""international"",""économie""]}","« Notre position sur le Mercosur, depuis 2019, a toujours été de dire que cet accord n'est pas acceptable en l'état.

Le sujet c'est que les accords de commerce doivent répondre à nos objectifs de compétitivité, de sécurité, de durabilité » — @mariepierrev.bsky.social","2024-12-27T13:46:46.666429Z","https://bsky.app/profile/ensembleue.bsky.social/post/3lbrnnzbqqc2s","ensembleue.bsky.social"
"['']",4,"1","2024-11-29T10:41:37.050515Z","2024-11-25 12:59:05.431000","3lbrla4ogxc2z",37.221,1,"[]","L’Europe Ensemble","","","","",0,1,"{""choices"":[""international"",""économie"",""social""]}","Nouvelle session plénière à Strasbourg ! À l’ordre du jour :

🇪🇺  Vote sur la nouvelle Commission européenne 
🚺 Lutte contre les violences faites aux femmes 
🇺🇦 Situation en Ukraine
🌍 Situation au Proche-Orient
💶 Budget européen pour 2026
🇬🇪 Ingérences et fraudes lors des élections en Géorgie","2024-11-29T10:41:37.050515Z","https://bsky.app/profile/ensembleue.bsky.social/post/3lbrla4ogxc2z","ensembleue.bsky.social"
"[]",5,"1","2024-11-29T10:41:58.042637Z","2024-11-25 12:50:04.455000","3lbrkn2z7zs2g+ensembleue.bsky.social",20.67,43,"['https://www.theguardian.com/world/2024/nov/24/italian-police-and-social-workers-leave-albania-after-staffing-empty-migrant-centres']","L’Europe Ensemble","3lbrkn2z7zs2g","reposted","https://bsky.app/profile/fabiennekeller.bsky.social/post/3lbrkn2z7zs2g","fabiennekeller.bsky.social",4,30,"{""choices"":[""international"",""immigration""]}","Désaveu cinglant pour Meloni qui se résout à rapatrier 250 policiers des centres pour migrants en Albanie, restés quasi vides depuis leur ouverture en dépit des 3000 places disponibles

L'externalisation migratoire est une impasse au coût exorbitant 🧶⤵️

www.theguardian.com/world/2024/n...","2024-11-29T10:41:58.042637Z","https://bsky.app/profile/fabiennekeller.bsky.social/post/3lbrkn2z7zs2g","ensembleue.bsky.social"
"[]",6,"1","2024-11-29T10:42:07.622663Z","2024-11-25 10:43:39.952000","3lbra4rgjq22o+ensembleue.bsky.social",9.242,50,"[]","L’Europe Ensemble","3lbra4rgjq22o","reposted","https://bsky.app/profile/valeriehayer.bsky.social/post/3lbra4rgjq22o","valeriehayer.bsky.social",5,20,"international","Vladimir Poutine a agressé un pays souverain, déporte des enfants et bombarde des civils.

Ce que nous soutenons n’est rien d’autre que la légitime défense du peuple ukrainien. Et nous continuerons.","2024-11-29T10:42:07.622663Z","https://bsky.app/profile/valeriehayer.bsky.social/post/3lbra4rgjq22o","ensembleue.bsky.social"
"['']",7,"1","2024-11-29T10:42:13.717072Z","2024-11-25 10:06:40.376000","3lbrblsug6k2h",5.804,6,"[]","L’Europe Ensemble","","","","",0,3,"social","En Europe 🇪🇺, 1 femme sur 3 a subi des violences physiques ou sexuelles.

En France, ce sont 122 féminicides depuis le début de l’année. 122 femmes qui ont été tuées.

C’est insoutenable.

Cette violence à l’encontre des femmes doit cesser.

La honte doit changer de camp.","2024-11-29T10:42:13.717072Z","https://bsky.app/profile/ensembleue.bsky.social/post/3lbrblsug6k2h","ensembleue.bsky.social"
"[]",8,"1","2024-11-29T10:42:26.641958Z","2024-11-24 19:34:59.268000","3lbncbyasqs2y+ensembleue.bsky.social",40.584,6,"['https://www.youtube.com/watch?v=0TZ8ai7TUcw']","L’Europe Ensemble","3lbncbyasqs2y","reposted","https://bsky.app/profile/mariepierrev.bsky.social/post/3lbncbyasqs2y","mariepierrev.bsky.social",0,2,"{""choices"":[""international"",""économie"",""vie politique""]}","On se retrouve demain sur LCP à 14h25 pour parler commerce international à l’heure du retour de Trump & aussi de l’accord entre l’UE & #Mercosur

Et dejà l’émission Ici l’#Europe à retrouver 📺 www.youtube.com/watch?v=0TZ8...","2024-12-27T14:24:06.931163Z","https://bsky.app/profile/mariepierrev.bsky.social/post/3lbncbyasqs2y","ensembleue.bsky.social"
"[]",9,"1","2024-11-29T10:42:41.559691Z","2024-11-24 19:34:50.865000","3lbossfa2f227+ensembleue.bsky.social",27.808,49,"['https://www.radiofrance.fr/franceinter/podcasts/l-invite-de-7h50-du-week-end/l-invite-de-7h50-du-we-du-samedi-23-novembre-2024-6996586']","L’Europe Ensemble","3lbossfa2f227","reposted","https://bsky.app/profile/valeriehayer.bsky.social/post/3lbossfa2f227","valeriehayer.bsky.social",2,9,"{""choices"":[""international"",""économie"",""vie politique""]}","Dans la matinale de France Inter, je suis revenue sur le Mercosur, la guerre russe en Ukraine et le vote de mercredi prochain sur la Commission européenne. 

L’interview de 7h50 : www.radiofrance.fr/franceinter/...","2024-12-27T14:24:12.900611Z","https://bsky.app/profile/valeriehayer.bsky.social/post/3lbossfa2f227","ensembleue.bsky.social"
"['']",10,"1","2024-11-29T10:42:45.424950Z","2024-11-24 18:12:51.650000","3lbpmcbcdgc2s",23.862000000000002,4,"[]","L’Europe Ensemble","","","","",0,1,"vie politique","📺 @valeriehayer.bsky.social sera l’invitée de BFM TV ce soir, à partir de 20h30.","2024-12-26T09:21:08.831641Z","https://bsky.app/profile/ensembleue.bsky.social/post/3lbpmcbcdgc2s","ensembleue.bsky.social"
